project,keyword,created,seed,locations,customers,periods,patronizing,rewards,replenishment,character,updated,commit,branch,bdl_runtime,bdl_iterations,bdl_objective,bdl_solution,bdl_optgap,bd5_runtime,bd5_optgap,bd5_iterations,bd5_objective,bd5_solution,bds_runtime,bds_optgap,bds_iterations,bds_objective,bds_solution
paper1,rnd_7-50-50-10-medium-inversely-mixed-heterogeneous,2023-11-24 01:32,7,50,50,10,medium,inversely,mixed,heterogeneous,2023-11-24 01:32,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,23.62100196,-1,30327.8,50-11-7-23-21-25-37-32-4-31,0,114.48,8.70E-05,28,30327.8,50-11-7-23-21-25-37-32-4-31,114.76,8.70E-05,28,30327.8,50-11-7-23-21-25-37-32-4-31
paper1,rnd_2-50-50-10-small-identical-relative-homogeneous,2023-11-24 18:33,2,50,50,10,small,identical,relative,homogeneous,2023-11-24 18:33,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,27.51610303,-1,13836.37,26-25-6-13-8-18-21-41-47-44,0,114.31,0,29,13836.37,26-6-25-8-13-21-18-41-47-44,114.55,0,29,13836.37,26-6-25-8-13-21-18-41-47-44
paper1,rnd_2-100-100-5-medium-inversely-absolute-heterogeneous,2023-11-24 19:14,2,100,100,5,medium,inversely,absolute,heterogeneous,2023-11-24 19:14,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,48.97603703,-1,12242,69-16-99-53-57,0,114.31,0,14,12242,69-16-99-53-57,114.08,0,14,12242,69-16-99-53-57
paper1,rnd_2-100-100-5-medium-identical-absolute-homogeneous,2023-11-24 19:05,2,100,100,5,medium,identical,absolute,homogeneous,2023-11-24 19:05,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,39.23286104,-1,39900,52-83-7-50-92,7.38E-05,113.48,0,12,39900,83-52-7-50-92,113.53,0,12,39900,83-52-7-50-92
paper1,rnd_9-100-100-5-medium-inversely-absolute-homogeneous,2023-11-24 00:00,9,100,100,5,medium,inversely,absolute,homogeneous,2023-11-24 00:00,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,72.05349207,-1,2162,21-48-5-90-13,9.64E-05,113.58,0,11,2162,21-48-5-90-13,113.46,0,11,2162,21-48-5-90-13
paper1,rnd_0-100-100-10-small-inversely-relative-homogeneous,2023-11-25 00:15,0,100,100,10,small,inversely,relative,homogeneous,2023-11-25 00:15,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,87.89925194,-1,4933.44,16-28-38-60-7-80-71-4-68-92,9.73E-05,112.7,9.99E-05,23,4933.44,16-28-7-60-38-80-71-4-68-92,113.03,9.99E-05,23,4933.44,16-28-7-60-38-80-71-4-68-92
paper1,rnd_1-100-100-5-medium-identical-absolute-homogeneous,2023-11-25 01:16,1,100,100,5,medium,identical,absolute,homogeneous,2023-11-25 01:16,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,49.2084291,-1,40300,79-8-22-19-33,9.15E-05,112.17,0,10,40300,79-8-22-19-33,112.14,0,10,40300,79-8-22-19-33
paper1,rnd_9-50-50-10-medium-identical-mixed-homogeneous,2023-11-23 23:42,9,50,50,10,medium,identical,mixed,homogeneous,2023-11-23 23:42,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,53.48633718,-1,39880.71,0-27-7-12-3-19-20-1-17-34,3.51E-05,112.08,6.74E-05,14,39880.71,0-27-7-12-3-19-20-1-17-34,111.61,6.74E-05,14,39880.71,0-27-7-12-3-19-20-1-17-34
paper1,rnd_0-50-50-10-large-identical-mixed-homogeneous,2023-11-24 23:58,0,50,50,10,large,identical,mixed,homogeneous,2023-11-24 23:58,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,46.60906792,-1,46630.71,0-0-0-0-46-18-10-41-4-36,9.65E-05,111.27,6.41E-05,17,46630.71,0-0-0-0-46-18-10-41-4-36,110.74,6.41E-05,17,46630.71,0-0-0-0-46-18-10-41-4-36
paper1,rnd_3-100-100-10-medium-identical-absolute-heterogeneous,2023-11-24 22:11,3,100,100,10,medium,identical,absolute,heterogeneous,2023-11-24 22:11,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,85.52104592,-1,477000,13-31-45-97-61-27-19-23-34-22,6.04E-05,110.23,0,14,477000,13-31-45-97-61-27-19-23-34-22,110.5,0,14,477000,13-31-45-97-61-27-19-23-34-22
