project,keyword,created,seed,locations,customers,periods,patronizing,rewards,replenishment,character,updated,commit,branch,rnd_objective,rnd_solution,rnd_runtime,frw_objective,frw_solution,frw_runtime,bcw_objective,bcw_solution,bcw_runtime,prg_objective,prg_solution,prg_runtime,rlxt_lrz_objective,rlxt_lrz_runtime,rlxt_lrz_status,warm_lrz_objective,warm_lrz_solution,warm_lrz_runtime,warm_lrz_status,warm_lrz_optgap,cold_lrz_objective,cold_lrz_solution,cold_lrz_runtime,cold_lrz_status,cold_lrz_optgap,rlxt_net_objective,rlxt_net_runtime,rlxt_net_status,warm_net_objective,warm_net_solution,warm_net_runtime,warm_net_status,warm_net_optgap,cold_net_objective,cold_net_solution,cold_net_runtime,cold_net_status,cold_net_optgap,warm_lrz_check,cold_lrz_check,warm_net_check,cold_net_check,upper_bound,net_intgap,lrz_intgap,rnd_optgap,frw_optgap,bcw_optgap,prg_optgap,em1_objective,em1_solution,em1_runtime,em1_status,em1_optgap,em2_objective,em2_solution,em2_runtime,em2_status,em2_optgap
paper1,rnd_1-100-100-10-medium-inversely-mixed-homogeneous,2023-11-11 17:28:57,1,100,100,10,medium,inversely,mixed,homogeneous,2023-11-11 17:28:57,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,9849.94,37-12-72-9-75-5-79-64-16-1,0.0,11804.08,33-41-77-82-84-74-60-99-71-17,0.53,12375.27,18-81-99-80-60-74-82-77-41-33,0.53,12375.27,18-81-99-80-60-74-82-77-41-33,3.23,14452.24,104.94,2,12982.91,86-35-91-7-74-18-45-95-94-4,18000.12,9,0.004464097773396942,12982.91,86-35-91-7-74-45-18-95-94-4,18000.13,9,0.007706226787815543,13444.83,30.95,2,12946.04,18-82-60-9-74-68-59-87-42-77,18000.75,9,0.02980046606709595,12946.04,18-82-60-9-74-59-68-87-42-77,18000.75,9,0.03067341035052978,True,True,True,True,12982.91,0.0371,0.1017,0.2413,0.0908,0.0468,0.0468,2395.14,33-33-33-33-33-33-33-33-33-33,0.0,2,0.8155,2395.14,33-33-33-33-33-33-33-33-33-33,0.0,2,0.8155
paper1,rnd_1-100-100-10-medium-inversely-relative-heterogeneous,2023-11-11 17:28:57,1,100,100,10,medium,inversely,relative,heterogeneous,2023-11-11 17:28:57,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,15188.45,37-12-72-9-75-5-79-64-16-1,0.0,20077.21,74-71-76-23-69-48-91-86-57-100,0.7,26727.79,0-0-32-91-74-96-41-71-27-76,0.7,27420.06,35-85-60-81-42-48-71-74-52-76,4.14,30896.54,14.96,2,28779.22,18-9-62-85-60-81-42-74-20-76,1038.76,2,9.417709947223286e-05,28779.22,18-9-62-85-60-81-42-74-20-76,1014.73,2,9.593531497205105e-05,30370.83,6.72,2,28779.22,18-9-62-85-60-81-42-74-20-76,1812.67,2,4.4097252002565437e-05,28779.22,18-9-62-85-60-81-42-74-20-76,1809.06,2,5.9576539977858034e-05,True,True,True,True,28779.22,0.0524,0.0685,0.4722,0.3024,0.0713,0.0472,1077.46,74-74-74-74-74-74-74-74-74-74,0.0,2,0.9626,4808.4,74-74-74-74-74-74-76-76-76-76,0.0,2,0.8329
paper1,rnd_1-100-100-10-medium-inversely-relative-homogeneous,2023-11-11 17:28:57,1,100,100,10,medium,inversely,relative,homogeneous,2023-11-11 17:28:57,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,2700.08,37-12-72-9-75-5-79-64-16-1,0.0,3374.24,33-41-12-96-4-30-25-90-83-11,0.56,4219.98,0-0-11-74-30-4-96-12-41-33,0.55,4242.1,0-74-36-60-12-96-20-41-4-33,3.31,5516.98,13.04,2,4838.51,7-86-94-35-95-91-74-45-18-4,18000.11,9,0.008776070915734723,4838.51,7-86-94-35-95-91-74-45-18-4,18000.13,9,0.009347455930564541,5073.43,10.05,2,4838.51,7-86-94-35-95-91-74-18-45-4,18000.96,9,0.03645638618176628,4838.51,7-86-94-35-95-91-74-45-18-4,18000.99,9,0.03551735356394157,True,True,True,True,4838.51,0.0463,0.123,0.442,0.3026,0.1278,0.1233,144.78,33-33-33-33-33-33-33-33-33-33,0.0,2,0.9701,144.78,33-33-33-33-33-33-33-33-33-33,0.0,2,0.9701
paper1,rnd_1-100-100-10-small-identical-absolute-heterogeneous,2023-11-11 17:12:49,1,100,100,10,small,identical,absolute,heterogeneous,2023-11-11 17:12:49,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,159600.0,37-12-72-9-75-5-79-64-16-1,0.0,253200.0,78-49-77-54-53-33-31-78-88-11,0.67,272000.0,34-22-29-26-25-6-77-31-33-78,0.66,272300.0,29-27-16-54-53-47-77-49-11-78,3.96,296638.89,9.8,2,277900.0,27-29-77-84-6-47-13-11-31-78,181.06,2,4.1613204137823625e-05,277900.0,27-29-77-84-6-47-13-11-31-78,177.88,2,8.938781001146638e-05,282569.23,16.95,2,277900.0,27-29-77-84-6-47-13-11-31-78,182.87,2,0.0,277900.0,27-29-77-84-6-47-13-31-11-78,92.04,2,0.0,True,True,True,True,277900.0,0.0165,0.0632,0.4257,0.0889,0.0212,0.0202,46500.0,77-77-77-77-77-77-77-77-77-77,0.0,2,0.8327,61100.0,78-78-78-78-78-78-78-78-78-78,0.0,2,0.7801
paper1,rnd_1-100-100-10-small-identical-absolute-homogeneous,2023-11-11 17:09:33,1,100,100,10,small,identical,absolute,homogeneous,2023-11-11 17:09:33,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,33700.0,37-12-72-9-75-5-79-64-16-1,0.0,49800.0,23-88-29-31-78-33-77-97-8-84,0.46,53300.0,27-11-84-13-78-47-31-29-88-23,0.46,54000.0,23-13-11-84-27-47-29-31-78-88,2.83,57500.0,21.7,2,54000.0,23-13-11-84-27-47-29-31-78-88,188.31,2,0.0,54000.0,54-23-13-84-27-47-29-78-31-88,172.82,2,1.304890319011907e-05,55120.0,17.71,2,54000.0,23-13-11-84-27-47-29-31-78-88,108.35,2,0.0,54000.0,23-54-27-84-13-47-31-78-29-88,189.27,2,0.0,True,True,True,True,54000.0,0.0203,0.0609,0.3759,0.0778,0.013,0.0,11000.0,88-88-88-88-88-88-88-88-88-88,0.0,2,0.7963,11000.0,88-88-88-88-88-88-88-88-88-88,0.0,2,0.7963
paper1,rnd_1-100-100-10-small-identical-mixed-heterogeneous,2023-11-11 17:12:50,1,100,100,10,small,identical,mixed,heterogeneous,2023-11-11 17:12:50,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,225672.73,37-12-72-9-75-5-79-64-16-1,0.0,355056.93,49-77-78-33-6-99-22-25-29-71,0.89,433089.97,34-73-88-84-29-6-77-31-33-78,0.91,413374.63,61-69-97-88-6-29-77-47-78-49,5.26,464929.64,14.24,2,442120.99,27-77-29-84-6-47-13-31-11-78,44.79,2,0.0,442120.99,27-77-29-84-6-47-13-31-11-78,44.53,2,6.695489788640715e-05,451944.16,9.84,2,442120.99,27-77-29-84-6-47-13-31-11-78,80.02,2,0.0,442120.99,27-77-29-84-6-47-13-31-11-78,127.7,2,0.0,True,True,True,True,442120.99,0.0217,0.0491,0.4896,0.1969,0.0204,0.065,39447.0,77-77-77-77-77-77-77-77-77-77,0.0,2,0.9108,157476.23,49-49-49-49-49-33-33-78-78-78,0.0,2,0.6438
paper1,rnd_1-100-100-10-small-identical-mixed-homogeneous,2023-11-11 17:12:50,1,100,100,10,small,identical,mixed,homogeneous,2023-11-11 17:12:50,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,64196.94,37-12-72-9-75-5-79-64-16-1,0.0,95079.35,23-88-29-31-78-33-77-97-8-84,0.56,101072.71,27-13-54-84-78-31-83-47-88-23,0.56,101117.77,27-13-54-84-78-47-83-31-23-88,3.37,115653.41,17.89,2,103607.62,23-27-54-13-84-47-78-29-31-88,259.78,2,0.0,103607.62,23-27-54-13-84-47-78-29-31-88,216.07,2,7.057419895043658e-05,105799.17,11.68,2,103607.62,23-27-54-13-84-47-78-31-29-88,106.64,2,0.0,103607.62,23-27-54-13-84-47-78-31-29-88,145.66,2,6.747653343465e-05,True,True,True,True,103607.62,0.0207,0.1042,0.3804,0.0823,0.0245,0.024,21010.0,88-88-88-88-88-88-88-88-88-88,0.0,2,0.7972,21010.0,88-88-88-88-88-88-88-88-88-88,0.0,2,0.7972
paper1,rnd_1-100-100-10-small-identical-relative-heterogeneous,2023-11-11 17:12:52,1,100,100,10,small,identical,relative,heterogeneous,2023-11-11 17:12:52,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,96503.75,37-12-72-9-75-5-79-64-16-1,0.0,157590.84,77-49-78-29-88-47-54-58-13-62,0.78,196789.24,38-61-18-47-6-29-11-77-49-78,0.76,196021.83,61-69-34-47-29-6-88-77-49-78,4.6,213478.71,8.35,2,203324.21,84-6-29-27-77-13-47-31-11-78,59.04,2,0.0,203324.21,84-6-29-27-77-13-47-31-11-78,58.78,2,0.0,210157.59,5.26,2,203324.21,84-6-29-27-77-13-47-31-11-78,167.37,2,0.0,203324.21,84-6-29-27-77-13-47-31-11-78,185.5,2,8.156263551699876e-05,True,True,True,True,203324.21,0.0325,0.0476,0.5254,0.2249,0.0321,0.0359,7853.0,77-77-77-77-77-77-77-77-77-77,0.0,2,0.9614,39335.61,77-77-77-49-78-78-78-78-78-78,0.0,2,0.8065
paper1,rnd_1-100-100-10-small-identical-relative-homogeneous,2023-11-11 17:12:50,1,100,100,10,small,identical,relative,homogeneous,2023-11-11 17:12:50,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,21778.92,37-12-72-9-75-5-79-64-16-1,0.0,32614.69,23-88-29-31-47-78-13-84-11-27,0.58,36493.47,60-20-50-84-54-53-83-47-88-23,0.57,37326.1,34-61-13-84-47-83-31-23-78-88,3.46,43693.95,7.55,2,38588.69,35-2-54-84-13-47-78-29-31-88,330.75,2,6.16927198024228e-05,38588.69,70-2-54-13-84-47-78-29-31-88,270.84,2,8.417592233174055e-05,40473.62,5.85,2,38588.69,70-2-54-13-84-78-47-31-29-88,229.56,2,5.7697757911011125e-05,38588.69,2-70-54-84-13-47-78-29-31-88,1354.07,2,0.0,True,True,True,True,38588.69,0.0466,0.1168,0.4356,0.1548,0.0543,0.0327,1270.0,88-88-88-88-88-88-88-88-88-88,0.0,2,0.9671,1270.0,88-88-88-88-88-88-88-88-88-88,0.0,2,0.9671
paper1,rnd_1-100-100-10-small-inversely-absolute-heterogeneous,2023-11-11 17:22:29,1,100,100,10,small,inversely,absolute,heterogeneous,2023-11-11 17:22:29,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,26273.0,37-12-72-9-75-5-79-64-16-1,0.0,45039.0,70-56-96-35-94-63-70-66-32-53,0.61,47760.0,2-26-32-53-63-94-96-35-56-70,0.62,47063.0,49-59-94-6-28-63-96-35-56-70,3.72,50249.46,1.09,2,48696.0,73-80-53-63-96-94-35-32-66-70,8.72,2,0.0,48696.0,73-80-53-63-96-94-35-32-66-70,10.33,2,9.417889588259048e-05,48696.0,4.35,2,48696.0,73-80-53-63-96-94-35-32-66-70,6.65,2,0.0,48696.0,73-80-53-63-96-94-35-32-66-70,5.23,2,0.0,True,True,True,True,48696.0,0.0,0.0309,0.4605,0.0751,0.0192,0.0335,7900.0,96-96-96-96-96-96-96-96-96-96,0.0,2,0.8378,9996.0,70-70-70-70-70-70-70-70-70-70,0.0,2,0.7947
