Name,State,Notes,User,Tags,Created,Runtime,Sweep,keyword,set,S,I,J,T,replenishment,zeta,absorption,eta,ap1_objective,ap1_optgap,ap1_runtime,ap1_solution,ap1_status,ap2_objective,ap2_optgap,ap2_runtime,ap2_solution,ap2_status,ap3_objective,ap3_optgap,ap3_runtime,ap3_solution,ap3_status,hrs_objective,hrs_objgap,hrs_solution,lpr_objective,lpr_runtime,lpr_status,mip_intgap,mip_objective,mip_optgap,mip_runtime,mip_solution,mip_status,sanity_check
desert-dream-2047,finished,-,warleyalm,,2022-11-13T04:40:35.000Z,3,,A-7-20-20-14-exponential-75-linear-100,A,7,20,20,14,exponential,75,linear,100,1867.6,0.3286,0,15-15-15-15-15-15-15-15-15-15-15-15-15-15,2,1867.6,0.3286,0,15-15-15-15-15-15-15-15-15-15-15-15-15-15,2,1867.6,0.3286,0,15-15-15-15-15-15-15-15-15-15-15-15-15-15,2,2287.57,0.1776,15-15-15-15-15-15-17-11-11-11-11-11-17-11,28774.91,0.03,2,0.9033,2781.7,0,0.26,15-15-15-15-15-15-11-15-17-17-17-17-17-17,2,true
solar-sun-2046,finished,-,warleyalm,,2022-11-13T04:40:31.000Z,4,,A-7-20-20-14-linear-100-exponential-50,A,7,20,20,14,linear,100,exponential,50,2143.46,0.7558,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,2764.78,0.685,0,11-11-11-10-10-10-10-10-10-10-10-10-10-10,2,3155.03,0.6405,0,11-18-18-18-18-18-2-2-2-2-2-2-2-2,2,7370.62,0.1602,11-10-16-18-11-10-16-18-11-10-16-18-11-10,29465.09,0.04,2,0.7021,8776.3,4.32813E-05,5.21,14-4-13-18-11-10-16-18-13-6-11-18-10-16,2,true
giddy-haze-2045,finished,-,warleyalm,,2022-11-13T04:40:27.000Z,4,,A-7-20-20-14-linear-50-exponential-75,A,7,20,20,14,linear,50,exponential,75,1936,0.7499,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,1936,0.7499,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,2264,0.7075,0,17-10-10-10-10-10-10-10-10-10-10-10-10-2,2,6498.16,0.1604,17-11-10-17-11-6-10-17-11-16-10-6-17-11,30607.45,0.04,2,0.7471,7739.4,9.71222E-05,7.59,19-6-13-11-17-14-10-16-13-15-6-11-17-10,2,true
lilac-cloud-2044,finished,-,warleyalm,,2022-11-13T04:40:24.000Z,3,,A-7-20-20-14-linear-25-exponential-25,A,7,20,20,14,linear,25,exponential,25,1234.98,0.7953,0,19-19-19-19-19-19-19-19-19-19-19-19-19-19,2,2536.34,0.5797,0,4-11-11-11-11-11-11-11-16-16-16-16-16-16,2,3050.77,0.4944,0,4-4-4-4-18-18-10-2-2-2-2-2-2-2,2,5510.1,0.0868,4-11-18-10-16-11-13-3-6-10-16-11-18-6,24467.41,0.04,2,0.7534,6034.04,2.75214E-05,6.42,17-19-14-4-10-18-11-13-16-6-18-10-11-16,2,true
dark-smoke-2043,finished,-,warleyalm,,2022-11-13T04:40:21.000Z,3,,A-7-20-20-14-linear-75-exponential-75,A,7,20,20,14,linear,75,exponential,75,2622,0.7298,0,16-16-16-16-16-16-16-16-16-16-16-16-16-16,2,3353,0.6544,0,16-16-16-16-16-20-20-20-20-20-20-20-20-20,2,2622,0.7298,0,16-16-16-16-16-16-16-16-16-16-16-16-16-16,2,8726.64,0.1006,16-10-20-16-10-15-20-16-10-15-20-9-16-10,35190.36,0.04,2,0.7243,9702.36,8.75192E-05,2.41,20-16-13-12-10-15-20-16-12-15-10-9-20-16,2,true
solar-glade-2042,finished,-,warleyalm,,2022-11-13T04:40:19.000Z,3,,A-7-20-20-14-exponential-75-linear-50,A,7,20,20,14,exponential,75,linear,50,2130.8,0.1821,0,15-15-15-15-15-15-15-15-15-15-15-15-15-15,2,2130.8,0.1821,0,15-15-15-15-15-15-15-15-15-15-15-15-15-15,2,2130.8,0.1821,0,15-15-15-15-15-15-15-15-15-15-15-15-15-15,2,2390.17,0.0825,15-15-15-15-15-15-17-11-11-11-11-11-17-11,28470.18,0.03,2,0.9085,2605.2,0,0.26,15-15-15-15-15-15-11-17-11-17-17-17-17-17,2,true
jolly-grass-2041,finished,-,warleyalm,,2022-11-13T04:40:15.000Z,3,,A-7-20-20-14-exponential-50-linear-50,A,7,20,20,14,exponential,50,linear,50,285.97,0.8638,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,285.97,0.8638,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,1127.4,0.4629,0,11-18-17-17-17-17-4-4-4-4-4-4-4-4,2,1821.24,0.1323,11-18-18-18-18-18-11-16-10-10-10-6-10-11,24927.97,0.04,2,0.9158,2099,0,0.33,18-18-11-11-11-11-11-11-10-16-16-16-16-16,2,true
crisp-glitter-2040,finished,-,warleyalm,,2022-11-13T04:40:13.000Z,3,,A-7-20-20-14-exponential-25-linear-25,A,7,20,20,14,exponential,25,linear,25,310.07,0.8192,0,18-18-18-18-18-18-18-18-18-18-18-18-18-18,2,293.56,0.8288,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,1279.3,0.254,0,11-13-17-17-17-17-19-4-4-4-4-4-4-4,2,1617.95,0.0565,11-18-18-11-18-18-18-16-10-10-11-6-10-16,23622.43,0.04,2,0.9274,1714.9,6.91441E-05,0.68,18-13-11-11-11-11-11-10-11-16-16-16-16-16,2,true
chocolate-pond-2039,finished,-,warleyalm,,2022-11-13T04:40:10.000Z,3,,A-7-20-20-14-exponential-25-linear-50,A,7,20,20,14,exponential,25,linear,50,586.87,0.6935,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,286.11,0.8506,0,11-11-11-11-11-11-11-11-11-11-11-11-11-11,2,1154.3,0.3972,0,11-17-17-17-19-14-14-14-14-14-14-14-14-14,2,1659.88,0.1332,11-15-15-17-11-15-17-10-16-6-16-11-6-10,23802.43,0.04,2,0.9196,1914.9,0,0.34,17-15-11-11-11-11-11-11-10-10-16-16-16-16,2,true
valiant-dew-2038,finished,-,warleyalm,,2022-11-13T04:40:07.000Z,3,,A-7-20-20-14-exponential-50-linear-75,A,7,20,20,14,exponential,50,linear,75,513.97,0.8258,0,17-17-17-17-17-17-17-17-17-17-17-17-17-17,2,608.59,0.7937,0,17-11-11-11-11-11-11-11-11-11-11-11-11-11,2,1164.24,0.6054,0,17-17-13-13-14-14-14-14-14-14-14-14-14-14,2,2063.48,0.3005,17-11-17-17-11-15-10-6-15-17-15-11-10-15,25814.68,0.03,2,0.8857,2950.1,0,0.97,15-17-11-17-11-11-11-11-11-10-10-10-10-10,2,true
